2025-05-25 17:00:43 | INFO     | knowledge:load_knowledge:53 - os.listdir(KNOWLEDGE_DIR): []
2025-05-25 17:04:50 | INFO     | knowledge:load_knowledge:53 - os.listdir(KNOWLEDGE_DIR): []
2025-05-25 17:08:52 | INFO     | knowledge:load_knowledge:53 - os.listdir(KNOWLEDGE_DIR): []
2025-05-25 17:09:30 | INFO     | knowledge:load_knowledge:53 - os.listdir(KNOWLEDGE_DIR): ['人事管理流程.docx']
2025-05-25 17:09:30 | INFO     | knowledge:load_knowledge:61 - file_path: ./chroma/knowledge/人事管理流程.docx
2025-05-25 17:09:30 | INFO     | knowledge:load_knowledge:65 - collection_name: 71eeedee21ca1f1bec56c3087d4cbfa7
2025-05-25 17:09:30 | INFO     | knowledge:load_knowledge:66 - self.__retrievers: {}
2025-05-25 17:09:30 | INFO     | custom_loader:__init__:25 - loader_class: <class 'langchain_community.document_loaders.word_document.UnstructuredWordDocumentLoader'>
2025-05-25 17:09:30 | INFO     | custom_loader:__init__:28 - self.loader: <langchain_community.document_loaders.word_document.UnstructuredWordDocumentLoader object at 0x00000229BFDBCAD0>
2025-05-25 17:09:30 | INFO     | knowledge:load_knowledge:73 - loader: <custom_loader.MyCustomLoader object at 0x00000229C0637410>
2025-05-25 17:09:31 | INFO     | knowledge:create_indexes:124 - record_manager: <langchain.indexes._sql_record_manager.SQLRecordManager object at 0x00000229C1E9F4D0>
2025-05-25 17:33:18 | INFO     | knowledge:load_knowledge:53 - 当前知识库文件列表: []
2025-05-25 17:33:34 | INFO     | knowledge:load_knowledge:53 - 当前知识库文件列表: ['人事管理流程.docx']
2025-05-25 17:33:34 | INFO     | knowledge:load_knowledge:61 - 文件路径: ./chroma/knowledge/人事管理流程.docx
2025-05-25 17:33:34 | INFO     | knowledge:load_knowledge:65 - collection_name: 71eeedee21ca1f1bec56c3087d4cbfa7
2025-05-25 17:33:34 | INFO     | knowledge:load_knowledge:66 - self.__retrievers: {}
2025-05-25 17:33:34 | INFO     | custom_loader:__init__:25 - 文档加载器: <class 'langchain_community.document_loaders.word_document.UnstructuredWordDocumentLoader'>
2025-05-25 17:33:34 | INFO     | knowledge:create_indexes:122 - record_manager: <langchain.indexes._sql_record_manager.SQLRecordManager object at 0x0000020E40F71950>
2025-05-25 17:33:34 | INFO     | knowledge:create_indexes:129 - 准备进行文件的加载切分....
2025-05-25 17:49:49 | INFO     | knowledge:load_knowledge:53 - 当前知识库文件列表: ['人事管理流程.docx']
2025-05-25 17:49:49 | INFO     | knowledge:load_knowledge:61 - 文件路径: ./chroma/knowledge/人事管理流程.docx
2025-05-25 17:49:49 | INFO     | knowledge:load_knowledge:65 - collection_name: 71eeedee21ca1f1bec56c3087d4cbfa7
2025-05-25 17:49:49 | INFO     | knowledge:load_knowledge:66 - self.__retrievers: {}
2025-05-25 17:49:49 | INFO     | custom_loader:__init__:25 - 本文档：./chroma/knowledge/人事管理流程.docx需使用文档加载器: <class 'langchain_community.document_loaders.word_document.UnstructuredWordDocumentLoader'>
2025-05-25 17:49:49 | INFO     | knowledge:create_indexes:122 - record_manager: <langchain.indexes._sql_record_manager.SQLRecordManager object at 0x000001766A19F450>
2025-05-25 17:49:49 | INFO     | knowledge:create_indexes:129 - 准备进行文件的加载切分....
